Turn Index	Speaker	Transcription
123	Caller	Okay. Okay.
124	Agent	Just
125	Caller	I don't have the receipt. Then I'll see it out because it must have been on the credit card speak with a different credit card should've been on that one I'm gonna look again. Sorry
126	Agent	no that's fine.
127	Caller	I have to look on a different credit card. So
128	Agent	That's
129	Caller	if
130	Agent	fine. Take
131	Caller	not
132	Agent	your
133	Caller	I'll
134	Agent	time?
135	Caller	have to get a hold of Doctor and I.
136	Agent	Do they usually print receipts at that office.
137	Caller	I think they do.
138	Agent	Okay
139	Caller	Maybe not so I'm not sure
140	Agent	okay
141	Caller	back okay trouble. Yeah oh okay okay okay found it
142	Agent	okay
143	Caller	okay
144	Agent	perfect.
145	Caller	but my bill was for one 999 for 999 they have 999. Check out at the exchange rate. Does that help at all.
146	Agent	That does help. I mean it's still close but it's probably a little bit off but it's still close and it has that
147	Caller	We
148	Agent	date on
149	Caller	have
150	Agent	it
151	Caller	all okay. It has the date of 6/22 and sometimes you know there's a little variable day to day on the exchange rate.
152	Agent	right
153	Caller	So let me print. Let me print this out
154	Agent	okay perfect.
155	Caller	oh you are so good.
156	Agent	Thank you.
157	Caller	Very appreciate it.
158	Agent	No problem at all.
159	Caller	Alright I'm gonna highlight it in yellow.
160	Agent	Okay
161	Caller	I I'm gonna highlight my name I'm gonna. No disrespect. But knock out my account number
162	Agent	that is fine.
163	Caller	okay and okay. So happy. I don't know why I use this credit card instead of the other one that. Let me go ahead and see here okay there you go 622 Doctor Agnes 600 checking of the exchange rate one 6741 okay and I just bye okay okay okay scanner is working
164	Agent	Okay
165	Caller	okay okay okay family. Hey I'm on the phone with me okay okay okay I've saved it and now I need to mail it right
166	Agent	okay yeah
167	Caller	okay hello okay where am I E mailing it.
168	Agent	alright
169	Caller	This
170	Agent	it's gonna be S as in sss S as in sss S as in sss S as in sss S as in sss S as in sss. Another S as in sss. S as in sss S as in sss number one on that number one the number1@delta.org
171	Caller	one okay S a dollar. The 2L
172	Agent	yes
173	Caller	I'm gonna do in the police docs
174	Agent	yeah
175	Caller	XXXX@delta.
176	Agent	yes
177	Caller	Okay. And then regarding XXXXXX and should I put my roll. The ID number
178	Agent	you do not it's gonna come directly to me.
179	Caller	XXXXX alright. I hope to hope they send you a survey to say nice things about you?
180	Agent	Thank you. I appreciate it. Yeah I wanna make sure we get this sent back in and reprocess because they did state in the notes that you needed a claim form. But you do not need a claim form at all.
181	Caller	I'm gonna write hello Miss Patel. Is that
182	Agent	It
183	Caller	okay? Is that
184	Agent	is
185	Caller	your last name.
186	Agent	it is
187	Caller	Alright okay okay okay I'm sending you an e-mail.
188	Agent	okay
189	Caller	It says how on this a
190	Agent	okay
191	Caller	dollar. Thank you for your professional and produce assistance. Please give me a past Howard Block there we go
192	Agent	alright perfect.
193	Caller	now. This is a OL so it might be a little bit slow. Are you up in
194	Agent	I'm
195	Caller	Sacramento or you or else
196	Agent	in Pennsylvania.
197	Caller	oh wow
198	Agent	Yeah I'm I'm on the other side of the US0
199	Caller	I was got a fat ticket from a state trooper on Interstate 80.
200	Agent	really?
201	Caller	I was speeding like an idiot. I'm so glad I got 00
202	Agent	Yeah I mean those state troopers man they'll get you yeah that'll get you
203	Caller	for sure. I mean it's like I was 25 I was 25 years old
204	Agent	okay?
205	Caller	and you know it takes the. The. The time it knocks on my window and says what's it gonna be Sunday or jail?
206	Agent	Really? Wow like
207	Caller	Yeah yeah I I said I got the money. I posted the bill. I was beating. I was I was going way too fast.
208	Agent	I
209	Caller	Good thing I got
210	Agent	mean
211	Caller	pulled
212	Agent	that's
213	Caller	off
214	Agent	what you do when you're young you know everything's fast
215	Caller	yeah I'm gonna I'm 71 now but
216	Agent	great. I definitely understand.
217	Caller	I think
218	Caller	how may you have you gotten that yet. It's still now.
219	Agent	Okay.
220	Caller	Let me know when you get it?
221	Agent	I
222	Caller	Hello?
223	Agent	did
224	Agent	receive it and I am attaching it right now so we can okay okay okay perfect. Alright. That test. Good. Alright. Let me let them know that it is the second page of the document. Okay. Services from here okay okay perfect. I was able to go ahead and attach it. Now I'm gonna go ahead and send it for them to go ahead and process and adjust it. Well at least process it not a test. Okay two okay perfect. I was able to go ahead and send that over and I do have a reference number for this call.
225	Caller	Okay and that is
226	Agent	It is S as in SSS S as in SSS. It's the loan number it's gonna be 999999 so now
227	Caller	alright
228	Agent	if you need to give us a call to check back in and give them that number and they should pull up this exact call
229	Caller	okay 999999 99999999
230	Agent	yes
231	Caller	okay so I mean do you know? I think it'll make me fill out a form but we don't even
232	Agent	yeah
233	Caller	know that
234	Agent	no you shouldn't have to fill out a claim form. We take statements from the provider. We just have to know that you know the services were paid and it does state that you paid in full on the form from Doctor. I'm sorry from the providers office and you
235	Caller	yeah
236	Agent	also provided me with that receipt. So we should be good to go. Okay
237	Caller	okay that is great. That is great. Can I speak to a supervisor of yours put in a good word or do I have to wait for a survey or because sometimes you get cut off and
238	Agent	yeah you might
239	Caller	is my request
240	Agent	yeah
241	Caller	night
242	Agent	you might have to wait for the survey. Just because all my supervisors are gone for the day. Okay?
243	Caller	okay sorry that I kept you late.
244	Agent	No.
245	Agent	Absolutely.
246	Caller	I
247	Agent	There is no problem at all. Was there anything else that I can assist you with today. Howard.
248	Caller	no
249	Agent	Okay?
250	Caller	I just I
251	Caller	just hope they have more people like you working for Delta
252	Agent	I
253	Caller	dental.
254	Agent	hope so
255	Agent	is well.
256	Caller	Okay.
257	Agent	Alright.
258	Caller	Very
259	Agent	Thank you for
260	Caller	good.
261	Agent	calling delta
262	Caller	Alright
263	Agent	dental and you have
264	Caller	okay
265	Agent	a great weekend.
266	Caller	you and you have you have a great weekend yourself.
267	Agent	Thank
268	Caller	Thanks
269	Agent	you.
270	Caller	for your help. Really
271	Agent	You're
272	Caller	appreciate it.
273	Agent	welcome.
274	Agent	Bye. Bye.
275	Caller	Bye. Bye.
